rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
5,of,i,23159162,23321.89,0.01,0.00,0.99,0.97,2897295,3419616,1398417,2542569,2280164,3252696,2867922,4500485,23317.58,26588.36,10918.77,20157.43,19270.82,25796.39,23557.38,37569.65
15,do,v,8186412,8244.70,0.10,0.01,0.86,0.98,1052753,885912,2349422,1472318,953133,594683,557889,321166,8472.61,6888.18,18344.18,11672.50,8055.41,4716.30,4582.55,2681.07
25,they,p,4503650,4535.29,0.23,0.00,0.79,0.98,626530,564689,528941,935257,545027,464425,493994,345418,5042.35,4390.60,4129.95,7414.70,4606.30,3683.25,4057.71,2883.52
35,she,p,3188078,3210.48,0.32,0.00,0.43,0.93,181410,217759,483074,354703,1283180,285458,295580,87513,1460.00,1693.13,3771.82,2812.08,10844.81,2263.90,2427.92,730.55
45,about,i,2427703,2444.76,0.02,0.01,0.72,0.98,360952,299486,409194,484896,248131,235278,231251,158515,2904.96,2328.58,3194.97,3844.24,2097.08,1865.94,1899.52,1323.27
55,there,e,1980173,1994.09,0.36,0.00,0.69,0.98,277871,253845,277096,424023,215316,190643,191696,149683,2236.32,1973.71,2163.55,3361.64,1819.74,1511.95,1574.61,1249.54
65,him,p,1717209,1729.27,0.02,0.01,0.44,0.96,130755,179631,387805,205962,484746,136754,147857,43738,1052.32,1396.68,3027.96,1632.86,4096.83,1084.56,1214.51,365.12
75,could,v,1529795,1540.54,0.03,0.00,0.61,0.98,172936,166121,247799,180303,333318,164533,152742,112043,1391.80,1291.63,1934.80,1429.44,2817.04,1304.87,1254.64,935.32
85,no,a,1206112,1214.59,0.13,0.01,0.58,0.99,179333,176499,218765,135402,154984,120182,113671,107276,1443.28,1372.32,1708.11,1073.46,1309.85,953.14,933.70,895.53
95,man,n,1091176,1099.05,0.12,0.02,0.39,0.98,101002,122971,257542,127193,219772,104329,92261,66314,812.87,956.13,2010.88,1008.38,1857.40,827.41,757.84,553.58
105,very,r,963552,970.32,0.06,0.01,0.49,0.95,137396,122023,130683,293099,72402,79741,72185,56023,1105.77,948.76,1020.37,2323.68,611.91,632.41,592.93,467.67
115,work,v,854095,860.10,0.03,0.01,0.51,0.99,130814,115845,122821,115177,75981,114439,109866,69152,1052.80,900.72,958.98,913.12,642.15,907.59,902.45,577.27
125,call,v,768117,773.51,0.05,0.01,0.48,0.99,75736,85918,148220,116916,106385,94459,93785,46698,609.53,668.03,1157.29,926.91,899.11,749.13,770.36,389.83
135,in,r,726590,731.70,0.10,0.01,0.50,0.99,89317,88106,113342,104336,100650,81346,71127,78366,718.83,685.05,884.97,827.17,850.64,645.14,584.24,654.19
145,as,r,662376,667.03,0.04,0.00,0.50,0.98,104016,96064,49370,82134,84301,98928,77637,69926,837.13,746.92,385.48,651.16,712.47,784.58,637.72,583.74
155,help,v,606887,610.55,0.05,0.01,0.45,0.99,82325,78907,113071,67143,51776,83056,75124,54888,662.56,613.52,882.85,532.31,437.59,658.70,617.08,458.20
165,every,a,567233,571.22,0.13,0.01,0.44,0.98,88808,85219,72068,76208,70447,78147,63740,32595,714.73,662.60,562.70,604.18,595.38,619.77,523.57,272.10
175,yes,u,537066,540.84,0.76,0.01,0.24,0.94,42583,32932,202606,164085,59628,15757,12950,6525,342.71,256.05,1581.94,1300.86,503.95,124.97,106.37,54.47
185,its,a,511922,515.52,0.00,0.00,0.29,0.89,124545,154682,22677,15728,30635,67319,53572,42764,1002.34,1202.69,177.06,124.69,258.91,533.89,440.05,356.99
195,hand,n,481332,484.71,0.03,0.01,0.32,0.94,40622,49037,59118,35953,180107,50101,33629,32765,326.93,381.27,461.59,285.03,1522.18,397.34,276.23,273.52
205,about,r,462995,466.25,0.06,0.00,0.40,0.98,53518,53237,52842,76737,44828,75589,76625,29618,430.72,413.93,412.59,608.37,378.86,599.48,629.40,247.25
215,without,i,438567,441.65,0.09,0.00,0.38,0.98,68726,71052,42839,34425,60441,59308,48165,53611,553.11,552.45,334.48,272.92,510.82,470.36,395.63,447.54
225,story,n,432184,435.22,0.06,0.01,0.30,0.97,62257,69309,36413,83824,44208,49775,48640,37758,501.05,538.89,284.31,664.55,373.62,394.75,399.53,315.20
235,begin,v,421878,424.84,0.05,0.03,0.36,0.97,36224,48322,18158,58204,72120,69879,65335,53636,291.53,375.72,141.78,461.44,609.52,554.19,536.67,447.75
245,fact,n,399574,402.38,0.02,0.01,0.32,0.96,74414,66965,22545,84544,28414,42453,30505,49734,598.89,520.67,176.03,670.26,240.14,336.69,250.57,415.17
255,maybe,r,374325,376.96,0.45,0.01,0.24,0.97,48716,33168,122573,54263,73569,20337,18271,3428,392.07,257.89,957.04,430.20,621.77,161.29,150.08,28.62
265,issue,n,362137,364.68,0.02,0.00,0.26,0.95,64423,54572,8098,75766,5536,39291,47054,67397,518.48,424.31,63.23,600.67,46.79,311.61,386.51,562.62
275,though,c,352608,355.09,0.14,0.00,0.33,0.97,53146,51698,14127,37211,71820,52023,41276,31319,427.72,401.96,110.30,295.01,606.99,412.58,339.04,261.45
285,best,j,348202,350.65,0.08,0.02,0.34,0.98,57725,52366,46910,37476,27956,56993,47467,21309,464.57,407.16,366.27,297.11,236.27,452.00,389.90,177.89
295,both,d,338454,340.83,0.15,0.01,0.32,0.98,43852,46602,26804,41205,35695,41553,37506,65237,352.92,362.34,209.28,326.67,301.68,329.55,308.08,544.59
305,much,r,329230,331.54,0.03,0.01,0.33,0.98,61463,51246,30027,48183,36431,41263,31784,28833,494.66,398.45,234.45,381.99,307.90,327.25,261.08,240.70
315,four,m,319834,322.08,0.11,0.01,0.32,0.98,28395,33747,30945,42059,32725,48961,64272,38730,228.52,262.39,241.62,333.44,276.58,388.30,527.94,323.31
325,car,n,313437,315.64,0.05,0.02,0.18,0.97,31381,26989,62015,33997,67575,41333,43071,7076,252.56,209.85,484.21,269.53,571.11,327.80,353.79,59.07
335,back,n,302390,304.51,0.11,0.01,0.26,0.97,29894,28950,56424,39407,78561,33074,28383,7697,240.59,225.09,440.56,312.42,663.96,262.30,233.14,64.25
345,member,n,292596,294.65,0.05,0.01,0.24,0.96,36144,44438,8532,38670,10430,36374,57953,60055,290.89,345.52,66.62,306.57,88.15,288.47,476.03,501.33
355,whether,c,280973,282.95,0.10,0.00,0.27,0.96,39616,43724,8225,52605,15051,35439,38172,48144,318.83,339.96,64.22,417.05,127.20,281.06,313.55,401.90
365,stay,v,275504,277.44,0.12,0.01,0.25,0.98,27267,25784,76159,38604,43687,28463,27606,7934,219.45,200.48,594.65,306.05,369.22,225.73,226.76,66.23
375,die,v,264537,266.40,0.04,0.01,0.20,0.99,22724,29335,63987,31736,45688,28395,30831,11841,182.88,228.09,499.61,251.60,386.13,225.19,253.25,98.85
385,office,n,258157,259.97,0.17,0.02,0.22,0.97,26902,34053,25234,31931,32222,33467,54889,19459,216.51,264.77,197.03,253.15,272.32,265.42,450.86,162.44
395,grow,v,248803,250.55,0.03,0.01,0.25,0.98,31165,31258,20103,25829,37571,45953,37794,19130,250.82,243.04,156.96,204.77,317.53,364.44,310.44,159.70
405,second,m,243485,245.20,0.17,0.01,0.26,0.97,31181,35185,15882,24097,22345,29676,41325,43794,250.95,273.57,124.01,191.04,188.85,235.35,339.45,365.59
415,low,j,237027,238.69,0.05,0.01,0.22,0.96,31028,31906,9439,16822,22077,40715,26501,58539,249.71,248.08,73.70,133.36,186.58,322.90,217.68,488.68
425,whole,j,233110,234.75,0.03,0.01,0.24,0.98,32007,29347,47210,41152,30084,24316,17683,11311,257.59,228.18,368.61,326.25,254.26,192.84,145.25,94.42
435,hard,j,228234,229.84,0.03,0.01,0.26,0.98,36841,31465,28380,34531,26963,32380,26937,10737,296.50,244.65,221.59,273.76,227.88,256.80,221.26,89.63
445,police,n,219041,220.58,0.19,0.01,0.12,0.93,17732,21217,27075,50836,17378,15486,59903,9414,142.71,164.97,211.40,403.03,146.87,122.82,492.05,78.59
455,break,v,213364,214.86,0.05,0.01,0.23,0.99,24160,25913,41113,26774,33869,26322,24908,10305,194.44,201.48,321.01,212.26,286.24,208.75,204.60,86.03
465,listen,v,208819,210.29,0.25,0.01,0.18,0.97,18040,17693,74341,32380,35669,12746,10306,7644,145.19,137.57,580.45,256.71,301.46,101.09,84.65,63.81
475,full,j,204252,205.69,0.05,0.01,0.24,0.98,30583,33606,20452,16899,31163,28780,23481,19288,246.13,261.29,159.69,133.97,263.37,228.25,192.88,161.01
485,local,j,200668,202.08,0.03,0.00,0.19,0.96,26538,26832,5771,17783,9478,31696,39273,43297,213.58,208.63,45.06,140.98,80.10,251.37,322.59,361.44
495,value,n,195639,197.01,0.04,0.00,0.15,0.93,30048,37008,3650,11718,3858,25115,20213,64029,241.83,287.75,28.50,92.90,32.61,199.18,166.03,534.51
505,explain,v,193276,194.63,0.03,0.00,0.21,0.98,26377,27547,17275,17572,22632,32049,16645,33179,212.28,214.18,134.88,139.31,191.27,254.17,136.72,276.98
515,movie,n,190773,192.11,0.05,0.01,0.12,0.97,31147,30736,23475,32887,13260,25733,29149,4386,250.67,238.98,183.29,260.73,112.07,204.08,239.43,36.61
525,difference,n,185310,186.61,0.02,0.00,0.17,0.94,25958,25744,9593,20608,7724,17804,13898,63981,208.91,200.17,74.90,163.38,65.28,141.20,114.16,534.11
535,effort,n,181751,183.03,0.01,0.00,0.20,0.95,24624,25666,3650,19471,9022,24774,31266,43278,198.18,199.56,28.50,154.37,76.25,196.48,256.82,361.28
545,because,i,178859,180.12,0.12,0.00,0.22,0.97,27250,25925,12429,26405,10596,19728,29150,27376,219.31,201.57,97.05,209.34,89.55,156.46,239.44,228.53
555,need,n,175440,176.67,0.02,0.00,0.18,0.95,26911,26748,11600,10594,10625,21556,17260,50146,216.58,207.97,90.57,83.99,89.80,170.96,141.78,418.61
565,situation,n,171026,172.23,0.02,0.01,0.18,0.97,28167,25728,12139,32637,9492,15986,17029,29848,226.69,200.04,94.78,258.75,80.22,126.78,139.88,249.17
